GO:0003008	GO:0003013
GO:0003008	GO:0003014
GO:0003013	GO:0003015
GO:0003008	GO:0003016
GO:0007585	GO:0003016
GO:0003013	GO:0003017
GO:0003013	GO:0003018
GO:0009593	GO:0003031
GO:0009593	GO:0003032
GO:0070482	GO:0003032
GO:0001976	GO:0003051
GO:0001990	GO:0003051
GO:0042756	GO:0003051
GO:0002027	GO:0003053
GO:0007623	GO:0003053
GO:0044707	GO:0003053
GO:0002026	GO:0003057
GO:0002027	GO:0003062
GO:0003014	GO:0003071
GO:0003073	GO:0003071
GO:0008217	GO:0003073
GO:0003014	GO:0003091
GO:0050891	GO:0003091
GO:0003014	GO:0003096
GO:0006811	GO:0003096
GO:0003014	GO:0003097
GO:0003091	GO:0003097
GO:0042044	GO:0003097
GO:0044707	GO:0003097
GO:0009726	GO:0003127
GO:0009799	GO:0003127
GO:0001759	GO:0003129
